kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
K00720.03,CONFIRMED,18.36974658,2.939,1143.3,3.58,27.14,582.0,0.947,20.1,5244.0,4.538,0.81,13.749
K00720.04,CONFIRMED,2.79590004,2.056,383.7,1.66,333.31,1090.0,0.638,16.3,5244.0,4.538,0.81,13.749
K00721.01,CONFIRMED,13.72462702,6.9758,281.8,2.13,112.82,831.0,0.748,50.1,5817.0,4.293,1.171,13.645
K00722.01,CONFIRMED,46.40626,7.0281,469.1,2.66,28.23,588.0,0.018,51.2,6086.0,4.276,1.227,13.489
K07634.01,CANDIDATE,80.84069,8.567,9326.0,15.11,14.83,500.0,0.003,21.6,5511.0,4.069,1.597,17.187
K00623.02,CONFIRMED,15.67750191,5.5082,115.5,1.42,101.79,810.0,0.911,39.6,6003.0,4.303,1.109,11.811
K00623.03,CONFIRMED,5.59931543,3.8944,84.8,1.22,402.39,1142.0,0.914,41.4,6003.0,4.303,1.109,11.811
K00623.04,CONFIRMED,25.2100146,6.553,62.1,0.95,54.06,691.0,0.771,18.8,6003.0,4.303,1.109,11.811
K00624.01,CONFIRMED,17.79001678,4.4116,871.4,2.7,43.5,655.0,0.182,67.2,5569.0,4.474,0.927,13.597
K00624.02,CONFIRMED,49.5674085,4.002,730.0,2.91,11.09,465.0,0.866,31.2,5569.0,4.474,0.927,13.597
K00098.01,CONFIRMED,6.790120801,6.0437,2302.3,9.86,998.97,1434.0,0.486,526.1,6372.0,3.954,2.001,12.128
K00675.01,FALSE POSITIVE,1.655467295,3.2424,1059.4,2.17,322.97,1080.0,0.001,98.7,4583.0,4.6,0.695,13.841
K00676.01,CONFIRMED,7.972510087,2.9754,3139.0,3.22,14.45,497.0,0.739,206.7,3912.0,4.728,0.533,13.822
K00676.02,CONFIRMED,2.453236139,1.6691,1723.2,2.26,69.36,737.0,0.496,158.0,3912.0,4.728,0.533,13.822
K00677.01,FALSE POSITIVE,11.9710626,2.7607,421.8,5.84,280.97,1044.0,0.999,42.6,6312.0,4.127,1.464,13.768
K00678.01,CONFIRMED,6.0404622,1.98,241.0,1.3,118.56,841.0,0.508,14.9,5297.0,4.578,0.825,13.283
K00678.02,CONFIRMED,4.13852825,2.281,256.5,1.3,196.51,954.0,0.185,20.5,5297.0,4.578,0.825,13.283
K00723.01,CONFIRMED,3.936993144,1.887,1266.0,3.36,240.16,1004.0,0.801,59.3,5431.0,4.563,0.843,15.063
K00723.02,CONFIRMED,28.08185982,4.5288,1840.3,3.63,17.52,522.0,0.425,50.8,5431.0,4.563,0.843,15.063
K00111.02,CONFIRMED,23.66834635,5.8297,449.4,2.32,47.11,668.0,0.758,112.8,5979.0,4.394,1.005,12.596
K00723.03,CONFIRMED,10.08881066,1.7726,1995.9,4.71,68.62,734.0,0.921,51.4,5431.0,4.563,0.843,15.063
K07635.01,CANDIDATE,60.458443,8.43,175.2,1.59,16.14,511.0,0.451,9.7,5865.0,4.297,1.181,14.544
K00724.01,FALSE POSITIVE,6.97106919,3.9125,452.8,2.07,189.16,946.0,0.044,41.7,5871.0,4.493,0.983,15.04
K00624.03,CONFIRMED,1.311842968,1.7876,245.1,1.43,1410.6,1562.0,0.121,44.2,5569.0,4.474,0.927,13.597
K00625.01,FALSE POSITIVE,38.13853099,3.8617,1230.2,68.75,137.15,873.0,1.231,58.9,6481.0,3.861,2.343,13.592
K00626.01,CONFIRMED,14.58649856,4.0249,378.7,2.45,124.89,852.0,0.665,53.0,6063.0,4.29,1.191,13.49
K00626.02,CANDIDATE,8.0292018,3.462,65.6,0.99,276.27,1040.0,0.51,11.7,6063.0,4.29,1.191,13.49
